rank,athlete,age,school,eventName,eventCategory,round,seed,mark,wind,points
1,Ramone Bailey,19,Wolmers' Boys,Long Jump,Field,NA,7.61m,7.15m,NA,NA
2,Adam Cummings,17,Munro College,Long Jump,Field,NA,7.24m,7.13m,NA,NA
3,Keneil Grant,17,Kingston College,Long Jump,Field,NA,7.24m,7.04m,NA,NA
4,Owen Smith,17,Calabar High,Long Jump,Field,NA,6.66m,6.97m,NA,NA
5,Ifeanyi Otvonye,17,Munro College,Long Jump,Field,NA,6.98m,6.91m,NA,NA
6,Teivaskie Lewin,19,Herbert Morrison,Long Jump,Field,NA,7.07m,6.78m,NA,NA
6,Jerome Wilson,19,Kingston College,Long Jump,Field,NA,7.31m,6.78m,NA,NA
8,Aubrey Allen,17,Bridgeport,Long Jump,Field,NA,6.08m,6.77m,NA,NA
9,Damar Whyte,19,Rusea's High,Long Jump,Field,NA,6.83m,6.76m,NA,NA
10,Jauvoy Jones,17,Holmwood Technical,Long Jump,Field,NA,6.72m,6.75m,NA,NA
11,Alex Levy,19,Camperdown High,Long Jump,Field,NA,6.48m,6.71m,NA,NA
11,Akiem Williams,17,Holmwood Technical,Long Jump,Field,NA,6.94m,6.71m,NA,NA
13,Carlos Mingoes,19,Jamaica College,Long Jump,Field,NA,6.22m,6.68m,NA,NA
14,Jason Lewis,17,Wolmers' Boys,Long Jump,Field,NA,6.72m,6.60m,NA,NA
15,Orneldo Thomas,19,Old Harbour High,Long Jump,Field,NA,6.91m,6.58m,NA,NA
16,Leerone Richards,18,St. Jago High,Long Jump,Field,NA,6.74m,6.57m,NA,NA
17,Troy Reid,19,Mannings High,Long Jump,Field,NA,6.77m,6.43m,NA,NA
18,James Passley,17,Happy Grove High,Long Jump,Field,NA,6.46m,6.33m,NA,NA
19,Sedekie Edie,17,Calabar High,Long Jump,Field,NA,6.47m,6.27m,NA,NA
19,Miguel Graham,17,Clarendon College,Long Jump,Field,NA,6.72m,6.27m,NA,NA
21,Ackeem Robertson,19,St. Mary High,Long Jump,Field,NA,6.50m,6.23m,NA,NA
22,Denroc Dixon,17,Donald Quarrie,Long Jump,Field,NA,6.25m,6.17m,NA,NA
23,Charles Palmer,18,Excelsior High,Long Jump,Field,NA,6.80m,6.15m,NA,NA
24,Derrol Gordon,17,Knox College,Long Jump,Field,NA,6.21m,6.10m,NA,NA
25,Alton Palmer,18,Buff Bay High,Long Jump,Field,NA,6.42m,6.09m,NA,NA
26,Sharaick Jarrett,19,Petersfield High,Long Jump,Field,NA,6.26m,5.84m,NA,NA
27,Bertance Bailey,17,Tacius Golding,Long Jump,Field,NA,6.15m,5.82m,NA,NA
28,Teran Ramsay,17,Bog Walk,Long Jump,Field,NA,6.48m,5.77m,NA,NA
29,Davian Bennett,18,Manchester High,Long Jump,Field,NA,6.43m,4.69m,NA,NA
--,Leevaughn O'Connor,18,St. Jago High,Long Jump,Field,NA,6.49m,FOUL,NA,NA
--,Rushane Henry,18,St. Elizabeth TE,Long Jump,Field,NA,6.16m,DNS,NA,NA
1,Apryl Thompson,15,Manchester High,High Jump,Field,NA,1.65m,1.50m,NA,NA
1,Antonia Mason,14,St. Andrew High,High Jump,Field,NA,1.55m,1.50m,NA,NA
1,Tamara Moncrieffe,15,Holmwood Technical,High Jump,Field,NA,1.60m,1.50m,NA,NA
1,Britny Kerr,14,Hydel High,High Jump,Field,NA,1.55m,1.50m,NA,NA
1,Jehvannia Vidal-Whyte,15,Vere Technical,High Jump,Field,NA,1.65m,1.50m,NA,NA
1,Jody-Kay Peterkin,15,Wolmers Girls,High Jump,Field,NA,1.60m,1.50m,NA,NA
1,Moseha Reid,14,St. Elizabeth TE,High Jump,Field,NA,1.55m,1.50m,NA,NA
1,Shadai Murray,14,Buff Bay High,High Jump,Field,NA,1.45m,1.50m,NA,NA
1,Danique Bryan,15,Edwin Allen High,High Jump,Field,NA,1.75m,1.50m,NA,NA
1,Sashaneir Bent,15,Convent OF Mercy,High Jump,Field,NA,1.45m,1.50m,NA,NA
11,Tanya Ricketts,14,St. Hugh's High,High Jump,Field,NA,1.45m,1.45m,NA,NA
11,Raquida Grant,15,Hampton School,High Jump,Field,NA,1.35m,1.45m,NA,NA
1,Afiya Dacres,14,St. Andrew High,High Jump,Field,NA,1.50m,1.50m,NA,NA
1,Rolaine Wright,15,Vere Technical,High Jump,Field,NA,1.55m,1.50m,NA,NA
1,Rushaun Spencer,15,Wolmers Girls,High Jump,Field,NA,1.55m,1.50m,NA,NA
1,Dowieke Daniel,14,Campion College,High Jump,Field,NA,1.60m,1.50m,NA,NA
1,Latavia Coombs,15,Holmwood Technical,High Jump,Field,NA,1.60m,1.50m,NA,NA
1,Samara Spencer,14,Hydel High,High Jump,Field,NA,1.70m,1.50m,NA,NA
1,Sashane Hanson,15,Herbert Morrison,High Jump,Field,NA,1.60m,1.50m,NA,NA
1,Annastacia Forrester,14,Manchester High,High Jump,Field,NA,1.72m,1.50m,NA,NA
1,Onessa Patten,15,Edwin Allen High,High Jump,Field,NA,1.70m,1.50m,NA,NA
1,Safia Morgan,15,Immaculate Conce,High Jump,Field,NA,1.55m,1.50m,NA,NA
11,Fiona Barnes,14,Excelsior High,High Jump,Field,NA,1.40m,1.45m,NA,NA
--,Ranique Wint,15,Holy Childhood,High Jump,Field,NA,1.40m,NH,NA,NA
1,Genekee Leith,15,St. Jago High,800 Meter Run,Track,NA,2:21.24,2:17.30,NA,NA
2,Nickesha Reid,15,Edwin Allen High,800 Meter Run,Track,NA,2:24.19,2:18.48,NA,NA
3,Chantai Smith,15,St. Elizabeth TE,800 Meter Run,Track,NA,2:21.24,2:19.01,NA,NA
4,Dercia Pitters,14,Edwin Allen High,800 Meter Run,Track,NA,2:23.69,2:22.43,NA,NA
5,Shanice Clarke,15,Vere Technical,800 Meter Run,Track,NA,2:19.84,2:23.58,NA,NA
6,Lisa Buchanan,14,Holmwood Technical,800 Meter Run,Track,NA,2:16.42,2:18.75,NA,NA
7,Aleitha McLaughlin,15,St. Elizabeth TE,800 Meter Run,Track,NA,2:20.24,2:19.55,NA,NA
8,Chevel Jackson,15,Ocho Rios High,800 Meter Run,Track,NA,2:26.79,2:20.71,NA,NA
9,Tamara Leckie,15,Guy's Hill High,800 Meter Run,Track,NA,2:19.55,2:23.13,NA,NA
10,Sashekia Heath,14,Holmwood Technical,800 Meter Run,Track,NA,2:21.49,2:23.84,NA,NA
11,Roshae Burrell,15,St. Jago High,800 Meter Run,Track,NA,2:20.24,2:21.58,NA,NA
12,Tashay Hunter,15,Donald Quarrie H,800 Meter Run,Track,NA,2:26.32,2:24.24,NA,NA
13,Aquila Brown,15,Albert Town High,800 Meter Run,Track,NA,2:29.90,2:24.53,NA,NA
14,Shanoya Glanville,15,Christiana High,800 Meter Run,Track,NA,2:27.42,2:24.62,NA,NA
15,Stacy-Ann Moyston,14,Albert Town High,800 Meter Run,Track,NA,2:32.01,2:25.23,NA,NA
16,Abbigale Butter,15,Spanish Town High,800 Meter Run,Track,NA,2:35.82,2:25.97,NA,NA
17,Tavia Dixon,14,Foga Road High,800 Meter Run,Track,NA,2:24.66,2:26.54,NA,NA
18,Chinnelle Morrison,14,Excelsior High,800 Meter Run,Track,NA,2:29.50,2:26.64,NA,NA
19,Peta-Gay Cunningham,15,Mannings High,800 Meter Run,Track,NA,2:33.84,2:26.82,NA,NA
20,Jody-Ann Golding,15,Bellefield High,800 Meter Run,Track,NA,2:42.24,2:27.33,NA,NA
21,Davina Canaan,15,Happy Grove High,800 Meter Run,Track,NA,2:27.26,2:27.03,NA,NA
22,Shamona Hunt,15,Glengoffe High,800 Meter Run,Track,NA,2:33.47,2:27.12,NA,NA
23,Subrena James,14,Vauxhall High,800 Meter Run,Track,NA,2:36.44,2:29.16,NA,NA
24,Nelecia Richards,15,Titchfield High,800 Meter Run,Track,NA,2:29.25,2:29.20,NA,NA
25,Gabrielle Miller,14,Convent OF Mercy,800 Meter Run,Track,NA,2:27.76,2:29.32,NA,NA
26,Santina Williams,14,Holy  Childhood,800 Meter Run,Track,NA,2:32.95,2:36.61,NA,NA
27,Abbygail Blackwood,15,DeCARTERET College,800 Meter Run,Track,NA,2:36.54,2:37.50,NA,NA
28,Samantha Morris,14,Maud McLEOD,800 Meter Run,Track,NA,2:36.74,2:39.14,NA,NA
29,Atasha Reid,14,Mile Gully High,800 Meter Run,Track,NA,2:39.24,2:40.65,NA,NA
30,Tashna  T Logan,15,Cross Keys High,800 Meter Run,Track,NA,2:34.24,2:43.23,NA,NA
31,Lisa Hall,14,Holy  Childhood,800 Meter Run,Track,NA,2:33.32,2:44.37,NA,NA
32,Roshanda Blackwood,14,Balaclava High,800 Meter Run,Track,NA,2:43.12,2:44.91,NA,NA
33,Jamelia Lovelace,15,Dinthill Technic,800 Meter Run,Track,NA,2:26.16,2:45.47,NA,NA
34,Shaion Plummer,14,Buff Bay High,800 Meter Run,Track,NA,2:30.19,2:51.42,NA,NA
--,Andrea Grant,15,Glengoffe High,800 Meter Run,Track,NA,2:37.07,DNS,NA,NA
1,Malcolm Campbell,14,Calabar High,800 Meter Run,Track,NA,2:06.70,2:05.52,NA,NA
2,Bradley Smith,14,Kingston College,800 Meter Run,Track,NA,2:11.88,2:08.34,NA,NA
3,Terroan Timothy Edwards,14,Spalding High,800 Meter Run,Track,NA,2:16.23,2:08.96,NA,NA
4,Corville Senior,12,Irwin High,800 Meter Run,Track,NA,2:09.84,2:10.25,NA,NA
5,Dirk Williamson,14,Jamaica College,800 Meter Run,Track,NA,2:06.61,2:12.41,NA,NA
6,Shavanes Robinson,14,Titchfield High,800 Meter Run,Track,NA,2:07.90,2:07.96,NA,NA
7,Kerron Hylton,14,St. Jago High,800 Meter Run,Track,NA,2:15.76,2:09.35,NA,NA
8,Nakeem Hemmings,14,Jamaica College,800 Meter Run,Track,NA,2:07.00,2:10.77,NA,NA
9,Paul Tate,14,Lacovia High,800 Meter Run,Track,NA,2:18.20,2:10.78,NA,NA
10,Sherwayne Allen,14,Kingston College,800 Meter Run,Track,NA,2:08.84,2:12.56,NA,NA
11,Frater Garland,14,St. Jago High,800 Meter Run,Track,NA,2:12.30,2:08.01,NA,NA
12,Orville Dixon,13,Calabar High,800 Meter Run,Track,NA,2:02.89,2:09.43,NA,NA
13,Ryan Holmes,14,Edwin Allen High,800 Meter Run,Track,NA,2:06.39,2:11.65,NA,NA
14,Leo Robinson,14,Holmwood Technical,800 Meter Run,Track,NA,2:13.49,2:13.14,NA,NA
15,Travis Bailey,14,Wolmers' Boys SC,800 Meter Run,Track,NA,2:11.55,2:16.06,NA,NA
16,Bryan Milwood,14,Wolmers' Boys SC,800 Meter Run,Track,NA,2:10.82,2:09.22,NA,NA
17,Demoy Farquharson,14,Knox College,800 Meter Run,Track,NA,2:09.90,2:10.03,NA,NA
18,Tion Gray,14,Petersfield High,800 Meter Run,Track,NA,2:10.00,2:11.90,NA,NA
19,Daniel Wint,14,Manchester High,800 Meter Run,Track,NA,2:10.11,2:13.15,NA,NA
20,Oyeth Bailey,14,Foga Road High,800 Meter Run,Track,NA,2:07.89,2:17.22,NA,NA
21,Lerone Bowden,14,Holmwood Technical,800 Meter Run,Track,NA,2:17.84,2:09.43,NA,NA
22,Andre Bennett,14,Cornwall College,800 Meter Run,Track,NA,2:10.00,2:11.00,NA,NA
23,Hakeem Weir,14,Campion College,800 Meter Run,Track,NA,2:22.65,2:13.40,NA,NA
24,Gavin Campbell,14,Ardenne High,800 Meter Run,Track,NA,2:15.49,2:13.51,NA,NA
25,Ackeem Stewart,14,Happy Grove High,800 Meter Run,Track,NA,2:16.59,2:13.78,NA,NA
26,Kosiani Dunkley,14,Meadowbrook High,800 Meter Run,Track,NA,2:19.02,2:16.00,NA,NA
27,Denzil Cunningham,14,Ferncourt High,800 Meter Run,Track,NA,2:22.78,2:16.24,NA,NA
28,Tivan Spencer,14,Bellefield High,800 Meter Run,Track,NA,2:21.00,2:16.41,NA,NA
29,Kevon Jackson,14,Charlemont High,800 Meter Run,Track,NA,2:21.46,2:16.61,NA,NA
30,Miguel Garrett,14,Godfrey Stewart,800 Meter Run,Track,NA,2:19.00,2:17.42,NA,NA
31,David Towsend,14,Greater Portmore,800 Meter Run,Track,NA,2:17.98,2:17.94,NA,NA
32,Nicoli Edwards,14,Bridgeport High,800 Meter Run,Track,NA,2:17.00,2:17.95,NA,NA
33,Daniel Samuels,14,Central High,800 Meter Run,Track,NA,2:16.72,2:18.85,NA,NA
34,Handel Dennis,14,Edith Dalton James,800 Meter Run,Track,NA,2:21.66,2:19.35,NA,NA
35,Orlando Graham,14,Tacius Golding H,800 Meter Run,Track,NA,2:19.00,2:20.87,NA,NA
36,Andre Brown,14,Muschett High,800 Meter Run,Track,NA,2:21.50,2:22.44,NA,NA
38,Devar Wellington,14,Bog Walk High SC,800 Meter Run,Track,NA,2:23.32,2:31.74,NA,NA
--,Rajiv Lewis,13,Munro College,800 Meter Run,Track,NA,2:17.70,DNS,NA,NA
1,Simoya Campbell,17,Spalding High,800 Meter Run,Track,NA,2:12.84,2:18.53,NA,NA
2,Shevel McDonald,17,St. Jago High,800 Meter Run,Track,NA,2:15.24,2:18.81,NA,NA
3,Marleena Eubanks,16,Edwin Allen High,800 Meter Run,Track,NA,2:13.55,2:19.44,NA,NA
4,Chrisann Gordon,16,Holmwood Technical,800 Meter Run,Track,NA,2:10.76,2:19.46,NA,NA
5,Taska Johnson,17,Vere Technical,800 Meter Run,Track,NA,2:14.58,2:18.87,NA,NA
6,Carla Thompson,17,Edwin Allen High,800 Meter Run,Track,NA,2:17.55,2:20.10,NA,NA
7,Claudette Campbell,17,Holmwood Technical,800 Meter Run,Track,NA,2:17.94,2:20.51,NA,NA
8,Titania Markland,17,St. Mary High,800 Meter Run,Track,NA,2:21.34,2:20.71,NA,NA
9,Danique Derby,17,Spalding High,800 Meter Run,Track,NA,2:31.95,2:19.39,NA,NA
10,Monique McPherson,16,Central High,800 Meter Run,Track,NA,2:18.64,2:21.26,NA,NA
11,Shevanice Edwards,17,Tacius Golding H,800 Meter Run,Track,NA,2:31.24,2:22.52,NA,NA
12,Tasheka Hamilton,17,Guy's Hill High,800 Meter Run,Track,NA,2:28.55,2:22.66,NA,NA
13,Abigail Julye,16,Convent OF Mercy,800 Meter Run,Track,NA,2:22.45,2:19.65,NA,NA
14,Candice Higgins,16,Excelsior High,800 Meter Run,Track,NA,2:23.77,2:21.19,NA,NA
15,Kemo Anderson,16,Manchester High,800 Meter Run,Track,NA,2:34.76,2:22.66,NA,NA
16,Suezette Layne,16,Titchfield High,800 Meter Run,Track,NA,2:35.03,2:23.72,NA,NA
17,Howadeen Williams,16,Ferncourt High,800 Meter Run,Track,NA,2:22.10,2:24.51,NA,NA
18,Racquel Ricketts,17,Manchester High,800 Meter Run,Track,NA,2:32.11,2:25.83,NA,NA
19,Kadejah  Allia Lawes,16,Jose Marti Techn,800 Meter Run,Track,NA,2:22.35,2:26.05,NA,NA
20,Sashauna Campbell,16,Tacius Golding H,800 Meter Run,Track,NA,2:30.24,2:26.35,NA,NA
21,Shanice Canningan,16,Rusea's High,800 Meter Run,Track,NA,2:31.24,2:27.72,NA,NA
22,Kemarlie Taylor,16,May Day High,800 Meter Run,Track,NA,2:28.78,2:27.72,NA,NA
23,Chevelle Walker,16,Holy Trinity High,800 Meter Run,Track,NA,2:48.66,2:41.61,NA,NA
24,Kbalifa Banks,16,Charlemont High,800 Meter Run,Track,NA,2:42.63,2:48.66,NA,NA
25,Sandreika Laird,17,Lewisville High,800 Meter Run,Track,NA,2:39.19,2:50.75,NA,NA
--,Renee Jones,16,Gaynstead High S,800 Meter Run,Track,NA,2:45.26,DNS,NA,NA
--,Navika Brown,16,Claude McKAY High,800 Meter Run,Track,NA,2:37.24,DNS,NA,NA
--,Keyandra Henry,17,St. Jago High,800 Meter Run,Track,NA,2:23.24,DNS,NA,NA
--,Rosheika Lee,16,Kellits High,800 Meter Run,Track,NA,2:32.78,DNS,NA,NA
--,Sanique Richards,16,Glengoffe High,800 Meter Run,Track,NA,2:30.91,DNS,NA,NA
29,Romario Foote,16,May Day High,800 Meter Run,Track,NA,2:09.03,2:06.77,NA,NA
30,Jason Lewis,16,Munro College,800 Meter Run,Track,NA,2:05.54,2:06.82,NA,NA
31,Devauhn Johnson,15,Vauxhall High,800 Meter Run,Track,NA,2:10.40,2:07.02,NA,NA
32,Anthony Tomlinson,16,Maud McLEOD,800 Meter Run,Track,NA,2:11.80,2:07.56,NA,NA
1,Chad Antoine Miller,15,Kingston College,800 Meter Run,Track,NA,2:01.10,2:00.85,NA,NA
2,Ricordo McKENZIE,15,Cornwall College,800 Meter Run,Track,NA,2:00.00,2:01.23,NA,NA
3,Kevin Robinson,15,Foga Road High,800 Meter Run,Track,NA,1:55.44,2:01.40,NA,NA
4,Kadar Bryan,16,Jamaica College,800 Meter Run,Track,NA,2:01.37,2:01.44,NA,NA
5,Jorel Belfante,16,Calabar High,800 Meter Run,Track,NA,1:58.34,2:02.03,NA,NA
6,Norman Pittersgill,15,Calabar High,800 Meter Run,Track,NA,2:03.69,2:07.70,NA,NA
7,Romaine Headman,15,Jamaica College,800 Meter Run,Track,NA,2:00.98,2:00.88,NA,NA
8,Tarik Fullerton,16,Cornwall College,800 Meter Run,Track,NA,2:03.00,2:01.71,NA,NA
9,Robert Thomas,16,St. Jago High,800 Meter Run,Track,NA,2:00.01,2:02.09,NA,NA
10,Najaye Stewart,16,Manchester High,800 Meter Run,Track,NA,2:07.22,2:02.39,NA,NA
11,Miguel Morrision,15,Kingston College,800 Meter Run,Track,NA,2:01.71,2:02.49,NA,NA
12,Herbert Thomas,16,Munro College,800 Meter Run,Track,NA,1:59.63,2:08.08,NA,NA
13,Dwayne Pinnock,16,Wolmers' Boys SC,800 Meter Run,Track,NA,2:03.01,2:01.73,NA,NA
14,Ricardo Campbell,16,Camperdown High,800 Meter Run,Track,NA,2:05.58,2:01.87,NA,NA
15,Jevaine Mills,15,Petersfield High,800 Meter Run,Track,NA,2:04.50,2:02.71,NA,NA
16,Javaun Newman,16,Spanish Town High,800 Meter Run,Track,NA,2:02.50,2:02.95,NA,NA
17,Rohan Corcho,16,Foga Road High,800 Meter Run,Track,NA,2:06.46,2:03.16,NA,NA
18,Marvin Blake,16,Campion College,800 Meter Run,Track,NA,2:07.57,2:03.78,NA,NA
19,Tevin Burton,16,Holmwood Technical,800 Meter Run,Track,NA,2:05.27,2:03.86,NA,NA
20,Kehjon Bonnick,15,St. Jago High,800 Meter Run,Track,NA,2:03.40,2:03.91,NA,NA
21,Anthony Small,16,St. Mary Technical,800 Meter Run,Track,NA,2:07.38,2:03.98,NA,NA
22,Travis Mitchelle,16,Old Harbour High,800 Meter Run,Track,NA,2:08.56,2:03.99,NA,NA
23,Aron Gayle,15,Christiana High,800 Meter Run,Track,NA,2:07.56,2:04.05,NA,NA
24,Rajay Hamilton,16,Lennon High,800 Meter Run,Track,NA,2:07.62,2:05.02,NA,NA
25,Jerome Peart,16,Balaclava High,800 Meter Run,Track,NA,2:07.84,2:05.19,NA,NA
26,Nicholas Campbell,15,Holy Trinity High,800 Meter Run,Track,NA,2:06.52,2:05.35,NA,NA
27,Henry Thomas,16,Tacius Golding H,800 Meter Run,Track,NA,2:08.00,2:05.72,NA,NA
28,Oshane Griffiths,15,Seaforth High,800 Meter Run,Track,NA,2:10.08,2:06.61,NA,NA
33,Stephan Bernard,16,Donald Quarrie H,800 Meter Run,Track,NA,2:13.41,2:07.64,NA,NA
34,Alex Brown,15,Wolmers' Boys SC,800 Meter Run,Track,NA,2:07.20,2:08.34,NA,NA
35,Navarro Channez Walker,16,Spalding High,800 Meter Run,Track,NA,2:11.36,2:08.65,NA,NA
36,Christopher Woolery,16,St. James High,800 Meter Run,Track,NA,2:11.15,2:09.37,NA,NA
37,Jaqwan Thomas,16,Yallahs High,800 Meter Run,Track,NA,2:07.43,2:10.16,NA,NA
38,Aamlie Hylton,16,Excelsior High,800 Meter Run,Track,NA,2:08.40,2:11.21,NA,NA
39,Adrian Higgins,15,Ocho Rios High,800 Meter Run,Track,NA,2:07.28,2:11.33,NA,NA
40,Renaldo Graham,16,Ocho Rios High,800 Meter Run,Track,NA,2:07.33,2:11.81,NA,NA
41,Kemanie Mitchell,15,Guy's Hill High,800 Meter Run,Track,NA,2:11.10,2:12.65,NA,NA
42,Jerrylee Cole,16,Claude McKAY High,800 Meter Run,Track,NA,2:12.79,2:12.88,NA,NA
43,Kimani Russell,16,Excelsior High,800 Meter Run,Track,NA,2:08.51,2:14.61,NA,NA
44,Fudail Mangroo,16,Buff Bay High,800 Meter Run,Track,NA,2:08.84,2:14.88,NA,NA
45,Davian Baker,15,Edith Dalton James,800 Meter Run,Track,NA,2:10.01,2:36.97,NA,NA
--,Sheneal Coward,17,Guy's Hill High,800 Meter Run,Track,NA,2:07.33,DNS,NA,NA
--,Travis Leslie,15,Glengoffe High,800 Meter Run,Track,NA,2:12.28,DNS,NA,NA
--,Wesley Gaynor,16,Vere Technical,800 Meter Run,Track,NA,2:02.49,DNS,NA,NA
2,Brian Smith,17,Clarendon College,800 Meter Run,Track,NA,1:53.31,1:57.65,NA,NA
3,Sanje Pantry,18,St. Jago High,800 Meter Run,Track,NA,1:58.20,1:58.19,NA,NA
4,Jordane Black,17,Cornwall College,800 Meter Run,Track,NA,2:00.20,1:58.52,NA,NA
5,Shavon Barnes,18,Camperdown High,800 Meter Run,Track,NA,1:57.34,2:00.01,NA,NA
6,Rogeek Rochester,19,Kingston College,800 Meter Run,Track,NA,1:57.70,2:00.47,NA,NA
7,Earl Grant,18,Jamaica College,800 Meter Run,Track,NA,1:57.49,2:02.38,NA,NA
8,Giovanni Foote,19,Munro College,800 Meter Run,Track,NA,1:55.01,1:56.88,NA,NA
9,Alex Saunders,18,Holmwood Technical,800 Meter Run,Track,NA,1:58.43,1:57.72,NA,NA
10,Waquar Dacosta,18,Jamaica College,800 Meter Run,Track,NA,1:55.82,1:58.59,NA,NA
11,Rouaj Shirley,19,Campion College,800 Meter Run,Track,NA,2:02.72,1:59.61,NA,NA
12,Rayon Black,17,Ferncourt High,800 Meter Run,Track,NA,1:57.53,2:00.07,NA,NA
13,Ossian Popley,17,Spanish Town High,800 Meter Run,Track,NA,2:02.17,2:00.71,NA,NA
14,Andre Hare,18,Kingston College,800 Meter Run,Track,NA,1:57.39,2:02.53,NA,NA
15,Oryane Espuet,17,Manchester High,800 Meter Run,Track,NA,2:02.74,1:57.84,NA,NA
16,Michael Stone,17,May Day High,800 Meter Run,Track,NA,1:58.63,1:57.98,NA,NA
17,Martin Kennedy,17,Bellefield High,800 Meter Run,Track,NA,2:03.00,1:58.18,NA,NA
18,Rando Gunn,19,Calabar High,800 Meter Run,Track,NA,1:58.03,1:58.59,NA,NA
19,Delano Lilly,19,Glenmuir High,800 Meter Run,Track,NA,1:59.30,1:58.59,NA,NA
20,Brandon Peart,19,Glenmuir High,800 Meter Run,Track,NA,2:02.88,1:59.02,NA,NA
21,Oshane Turner,17,Petersfield High,800 Meter Run,Track,NA,1:55.60,1:59.65,NA,NA
22,Damian Wiggan,18,Titchfield High,800 Meter Run,Track,NA,1:59.60,2:00.06,NA,NA
23,Jason Fletcher,19,Claude McKAY High,800 Meter Run,Track,NA,2:03.00,2:00.16,NA,NA
24,Marcel Williamson,17,Porus High,800 Meter Run,Track,NA,2:03.83,2:00.97,NA,NA
25,Kemar Gordon,17,St. Jago High,800 Meter Run,Track,NA,1:57.23,2:01.08,NA,NA
26,Chevaughn McDONALD,17,Bridgeport High,800 Meter Run,Track,NA,2:03.51,2:01.09,NA,NA
27,Ricardo Anon,17,Calabar High,800 Meter Run,Track,NA,2:04.60,2:01.31,NA,NA
28,Orane Smith,18,Old Harbour High,800 Meter Run,Track,NA,2:03.16,2:01.47,NA,NA
29,Dwayne Huntley,17,Mona High School,800 Meter Run,Track,NA,2:01.23,2:01.77,NA,NA
30,Jahnoy Bond,17,Manchester High,800 Meter Run,Track,NA,2:05.10,2:01.79,NA,NA
32,Devado Buckham,17,Donald Quarrie H,800 Meter Run,Track,NA,2:07.13,2:02.72,NA,NA
33,Rohan Simms,17,Titchfield High,800 Meter Run,Track,NA,2:02.69,2:02.88,NA,NA
34,Ronaldo Williams,18,Charlemont High,800 Meter Run,Track,NA,2:10.14,2:03.27,NA,NA
35,Robert Adamson,18,Tacius Golding H,800 Meter Run,Track,NA,2:01.88,2:03.31,NA,NA
36,Kimanie Gordon,17,Hydel High,800 Meter Run,Track,NA,2:03.90,2:03.67,NA,NA
37,Ruel Higgins,18,Munro College,800 Meter Run,Track,NA,2:05.34,2:03.87,NA,NA
38,Sheneal Coward,17,Guy's Hill High,800 Meter Run,Track,NA,null,2:04.28,NA,NA
39,Damoy Matthews,18,Christiana High,800 Meter Run,Track,NA,2:04.01,2:04.54,NA,NA
40,Showaine Gauze,19,Lennon High,800 Meter Run,Track,NA,2:09.69,2:04.72,NA,NA
41,Claudius Wray,17,Buff Bay High,800 Meter Run,Track,NA,2:01.83,2:06.55,NA,NA
42,Donnie McBEAN,17,Cumberland High,800 Meter Run,Track,NA,2:05.74,2:06.70,NA,NA
43,Andrew Salmon,18,St. Andrew College,800 Meter Run,Track,NA,2:10.00,2:06.78,NA,NA
44,Kevoy Clarke,17,Rusea's High,800 Meter Run,Track,NA,2:07.48,2:07.41,NA,NA
